backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
empty,18,1024105,en,Picture Day,empty,7.531,www.themoviedb.org/t/p/w600_and_h900_bestv2/xqxUIfGTIRu4OnbCKJ6WmdVBTz6.jpg,2023-06-23,Picture Day,0.0,0,Drama
www.themoviedb.org/t/p/w600_and_h900_bestv2/huplTByCf3MZqFb798s7NVDKdbx.jpg,"18, 27, 53",1024773,en,It Lives Inside,empty,30.735,www.themoviedb.org/t/p/w600_and_h900_bestv2/dpgI82d8CrCDqDdBQeDUeFOIzI4.jpg,2023-06-23,It Lives Inside,0.0,0,"Drama, Horror, Thriller"
empty,99,1026468,en,"SCALA!!! Or, the incredibly strange rise and fall of the world’s wildest cinema and how it influenced a mixed-up generation of weirdos and misfits",empty,2.243,empty,2023-06-25,"SCALA!!! Or, the incredibly strange rise and fall of the world’s wildest cinema and how it influenced a mixed-up generation of weirdos and misfits",0.0,0,Documentary
empty,80,1028078,en,TRAP,empty,0.6,www.themoviedb.org/t/p/w600_and_h900_bestv2/svoBNcSzJXkjRG9IG2WXTM5n3kn.jpg,2023-06-23,TRAP,0.0,0,Crime
www.themoviedb.org/t/p/w600_and_h900_bestv2/6MAcaCskKGZ9HhqQ0i57Z6IJZ2f.jpg,"878, 35, 27",1028359,en,Give Me An A,empty,10.618,www.themoviedb.org/t/p/w600_and_h900_bestv2/diBjRWYaFErqj433czk61rAhpAX.jpg,2023-06-21,Give Me An A,0.0,0,"Science Fiction, Comedy, Horror"
empty,"53, 18",1030101,ml,ധൂമം,empty,29.381,www.themoviedb.org/t/p/w600_and_h900_bestv2/zZ4qJFfv6UXqb6otLBW2qzOQu4C.jpg,2023-06-23,ധൂമം,0.0,0,"Thriller, Drama"
empty,10749,1032048,bn,প্রিয়তমা,empty,23.442,www.themoviedb.org/t/p/w600_and_h900_bestv2/bbVlVUS5KAO0XLKhSr5oNbbRXbG.jpg,2023-06-23,প্রিয়তমা,0.0,0,Romance
empty,99,1036566,en,Out of Uganda,empty,5.398,www.themoviedb.org/t/p/w600_and_h900_bestv2/sq4TMXaVYyIFtnnC6FS7Ef9Y0po.jpg,2023-06-20,Out of Uganda,0.0,0,Documentary
empty,99,1037152,es,Orden natural,empty,20.496,www.themoviedb.org/t/p/w600_and_h900_bestv2/8swtWh9RlemI4Q6MOLLhHtjXPiA.jpg,2023-06-25,Orden natural,0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/6cHVzSjwAF0IZeFr7Vw3n173px0.jpg,empty,1037682,hu,"Látom, amit látsz",empty,11.756,www.themoviedb.org/t/p/w600_and_h900_bestv2/hQsa14qvlsk0jtRiitVez9TcZVa.jpg,2023-06-22,"Látom, amit látsz",0.0,0,empty
www.themoviedb.org/t/p/w600_and_h900_bestv2/vVfbtGXU9N8Y7Pffg1YVljOdgdQ.jpg,"18, 35",1038522,tr,Tebessüm,empty,1.4,www.themoviedb.org/t/p/w600_and_h900_bestv2/9o5LSeAqfuj5aL0eHENiWzNh06q.jpg,2023-06-23,Tebessüm,0.0,0,"Drama, Comedy"
www.themoviedb.org/t/p/w600_and_h900_bestv2/6IZTJCupVue1v8a85EAvLWt8tZy.jpg,18,1039578,en,Good Side of Bad,empty,10.305,www.themoviedb.org/t/p/w600_and_h900_bestv2/mTnvLoD5vwLML5EVTMJgJ8d0a66.jpg,2023-06-22,Good Side of Bad,0.0,0,Drama
www.themoviedb.org/t/p/w600_and_h900_bestv2/mxj13Z7gnZFchjxlPgIeOgf6PHD.jpg,"10770, 53, 18, 80",1040867,en,Threats from the Inside,empty,2.209,www.themoviedb.org/t/p/w600_and_h900_bestv2/rcltKizUtSPLK6SEqHDccHRlb9u.jpg,2023-06-22,Threats from the Inside,8.5,2,"TV Movie, Thriller, Drama, Crime"
empty,empty,1042046,es,La memoria escondida,empty,24.812,www.themoviedb.org/t/p/w600_and_h900_bestv2/9Q6vYuQ5zFeenahKbQfGWRe61Dr.jpg,2023-06-23,La memoria escondida,0.0,0,empty
empty,empty,1046061,en,The Rainbow Dung Beetle,empty,21.931,www.themoviedb.org/t/p/w600_and_h900_bestv2/q5cqdwfOy6RhUJ6KltPcksbYpfD.jpg,2023-06-24,The Rainbow Dung Beetle,0.0,0,empty
empty,99,1047131,en,Here. Is. Better.,empty,24.404,www.themoviedb.org/t/p/w600_and_h900_bestv2/eAS3f7Rl6Mc2sP3R2iSPAWcBvqr.jpg,2023-06-23,Here. Is. Better.,0.0,0,Documentary
empty,99,1047754,tr,My Name Is Happy,empty,25.411,www.themoviedb.org/t/p/w600_and_h900_bestv2/jNvLWk6mFHAQzmkNy6iD2HKIjDK.jpg,2023-06-25,My Name Is Happy,0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/r0x8nLZvoYWWl0OIRmHdSh0MrNn.jpg,10402,1052593,es,David Bisbal en concierto - 20 Aniversario,empty,8.785,www.themoviedb.org/t/p/w600_and_h900_bestv2/xPkrUcLhBGVuXUBfmrdusLYBQKd.jpg,2023-06-21,David Bisbal en concierto - 20 Aniversario,0.0,0,Music
empty,"16, 18",1056803,ja,青春ブタ野郎はおでかけシスターの夢を見ない,empty,37.227,www.themoviedb.org/t/p/w600_and_h900_bestv2/xCpMG1VhsS2cbXDJ8Dx2LbrhIs5.jpg,2023-06-23,青春ブタ野郎はおでかけシスターの夢を見ない,10.0,1,"Animation, Drama"
www.themoviedb.org/t/p/w600_and_h900_bestv2/x9d7iSZNn6LNBzYHbM6x0vhrCPW.jpg,"53, 28, 35",1057001,ko,귀공자,empty,33.089,www.themoviedb.org/t/p/w600_and_h900_bestv2/nMyM7CpWoebu03mAI3JtKTwh5zm.jpg,2023-06-21,귀공자,7.8,2,"Thriller, Action, Comedy"
www.themoviedb.org/t/p/w600_and_h900_bestv2/xVcffNU61CclEGgtiWP7KLIE2dm.jpg,"27, 28, 14",1058537,en,Angels Fallen: Warriors of Peace,empty,12.325,empty,2023-06-22,Angels Fallen: Warriors of Peace,0.0,0,"Horror, Action, Fantasy"
empty,"35, 18, 10749",1063756,en,Sweet Sue,empty,25.462,empty,2023-06-23,Sweet Sue,0.0,0,"Comedy, Drama, Romance"
empty,"27, 18",1066707,en,"The Waiting Room, or Eggs in Purgatory",empty,22.65,www.themoviedb.org/t/p/w600_and_h900_bestv2/kyy1jaVSpoKv7HBRpPqwp8gcigU.jpg,2023-06-23,"The Waiting Room, or Eggs in Purgatory",0.0,0,"Horror, Drama"
empty,35,1066919,fr,La chose extatique,empty,20.692,www.themoviedb.org/t/p/w600_and_h900_bestv2/d3qLi7MG05itPusg5P7NLBQrJqt.jpg,2023-06-24,La chose extatique,0.0,0,Comedy
empty,empty,1067619,kn,Bad Manners,empty,24.433,www.themoviedb.org/t/p/w600_and_h900_bestv2/1nwXOoKABY8uKXnrakaMPOkfevT.jpg,2023-06-23,Bad Manners,0.0,0,empty
empty,"35, 10402, 10749",1068702,id,200 Pounds Beauty,empty,19.362,www.themoviedb.org/t/p/w600_and_h900_bestv2/vISoQsjjPDfPXds8iMH0gytaJfo.jpg,2023-06-22,200 Pounds Beauty,0.0,0,"Comedy, Music, Romance"
www.themoviedb.org/t/p/w600_and_h900_bestv2/lTYVGhyMr32Zl9xRVrLWzvaS6V3.jpg,"53, 18",1069164,de,Bis ans Ende der Nacht,empty,10.133,www.themoviedb.org/t/p/w600_and_h900_bestv2/eP07c6mM3JJLg0TPVoS3qSRKmWi.jpg,2023-06-22,Bis ans Ende der Nacht,0.0,0,"Thriller, Drama"
www.themoviedb.org/t/p/w600_and_h900_bestv2/4dHfotngHD6ZIVPZIhi0pGYmQOI.jpg,99,1072648,en,bleared eyes of blue glass,empty,6.376,www.themoviedb.org/t/p/w600_and_h900_bestv2/ohOK9mBCts3MP9GttW4C0G9CCxF.jpg,2023-06-21,bleared eyes of blue glass,0.0,0,Documentary
empty,empty,1076225,ja,スパイスより愛を込めて,empty,6.503,www.themoviedb.org/t/p/w600_and_h900_bestv2/ntRffddyLoI0LXkd4zydsK62OM0.jpg,2023-06-21,スパイスより愛を込めて,0.0,0,empty
empty,empty,1076706,ja,神回,empty,7.279,www.themoviedb.org/t/p/w600_and_h900_bestv2/2MJUQvaVr5PNqSrXFT0GStpiwfV.jpg,2023-06-21,神回,0.0,0,empty
empty,53,1077984,ms,Jemputan Ke Neraka,empty,9.789,www.themoviedb.org/t/p/w600_and_h900_bestv2/7Wwq3gegxa6GMCnpQNl39Cqf6sh.jpg,2023-06-22,Jemputan Ke Neraka,0.0,0,Thriller
